Piano;Codice Programma;Programma;Codice Investimento;Investimento;Codice Intervento;Intervento;Amministrazione Titolare;CUP;Stato CUP;Codice Natura Investimento;Natura Investimento;Codice Tipologia Investimento;Tipologia Investimento;Codice Settore Intervento Investimento;Settore Intervento Investimento;Codice Sottosettore Intervento Investimento;Sottosettore Intervento Investimento;Codice Categoria Intervento Investimento;Categoria Intervento Investimento;Titolo Unità di Rilevazione;Soggetto Attuatore;Codice Fiscale Soggetto Attuatore;Finanziamento PNC;Data di estrazione
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E49D22000570001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO PROCAMIDA PREVEDE LA RISTRUTTURAZIONE DI UN HANGAR GIÀ PRESENTE NELLAREA DEL CIRA,AMPLIANDONE I VOLUMI ATTRAVERSO LAGGIUNTA DI UNITÀ ESTERNE E COSTRUZIONE DI UN ULTERIORE HANGAR ATTREZZATO E UNITÀ LABORATORIALI INCLUSIVE DI STRUMENTAZIONE*VI;CENTRO ITALIANO PER LA RICERCA AEROSPAZIALE - CIRA S.C.P.A.;01908170614;12649981,40;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E59D22000280001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO HA COME OBIETTIVO LA COSTITUZIONE DI UN INNOVATION HUB, AL SERVIZIO DELLALTA FORMAZIONE SPECIALISTICA NEL SETTORE AGROALIMENTARE*COMPLESSO IMMOBILIARE EX MOLINI E PASTIFICI BASILE*L'OBIETTIVO VERRÀ RAGGIUNTO ATTRAVERSO IL RISANAMENTO E RECU;POLITECNICO DI BARI;93051590722;11963125,80;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E69D22000210001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;LA FINALITÀ DEL PROGETTO TESTARE È CREARE UNA RECIPROCA CONTAMINAZIONE TRA IL SISTEMA RICERCA PUBBLICO/PRIVATO E LA REALTÀ INDUSTRIALE RELATIVAMENTE ALLAMBITO TEMATICO 5.4 E 5.5 DEL PNRR*VIA CERZA 4*IL PROGETTO PREVEDE LA RICONVERSIONE  DELLA STRUTTURA S;UNIVERSITA DEGLI STUDI DI CATANIA;02772010878;7050000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E69D22000220001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;"LIDEA PROGETTUALE E&#768; QUELLA DI CREARE IL SUDDETTO CLUSTER RIQUALIFICANDO E RIFUNZIONALIZZANDO GLI EDIFICI DI PROPRIETÀ DELLA MAGNAGHI AERONAUTICA ATTUALMENTE IN DISUSO IN VIA GALILEO FERRARIS (NAPOLI).*VIA GALILEO FERRARIS, 76*LOBIETTIVO PROGETTUAL";CENTRO ITALIANO PER LA RICERCA AEROSPAZIALE - CIRA S.C.P.A.;01908170614;9000000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E89D22000330001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;SOGGETTO PROPONENTE: SOTACARBO SPA - IL PROGETTO RECOVER HA LO SCOPO DI RIQUALIFICARE I LOCALI DELLEX UFFICIO TECNICO DELLA GRANDE MINIERA DI SERBARIU*GRANDE MINIERA SERBARIU 09013*RIQUALIFICAZIONE DI EDIFICI MINERARI PER LA CREAZIONE DI UN POLO DI INNOV;SOTACARBO - SOCIETA' TECNOLOGIE AVANZATE LOW CARBON - SOCIETA' PER AZIONI;01714900923;12000000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E89D22000340001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;RENATO DULBECCO INSTITUTE, È UN PROGETTO DI RIQUALIFICAZIONE E RIFUNZIONALIZZAZIONE DI INFRASTRUTTURE DI RICERCA PER LA CREAZIONE DI UN ECOSISTEMA BASATO SU TECNOLOGIE AVANZATE A FORTE IMPATTO, DALLA CALABRIA ALLEUROPA*COMPLESSO TERINA, EDIFICI EX TELCAL;AGENZIA PER LA COESIONE TERRITORIALE;97828370581;8244008,48;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E89I22000560001;ATTIVO;06;CONCESSIONE DI CONTRIBUTI AD ALTRI SOGGETTI (DIVERSI DA UNITA' PRODUTTIVE);N;NORMALE;08;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;0861__;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;0861__620_;ALTRE RICERCHE;IL PROGETTO SHERIL SI PREFIGGE DI RIQUALIFICARE E RIFUNZIONALIZZARE UNAREA DI PROPRIETÀ DELLUNIVERSITÀ DEGLI STUDI DEL SANNIO, FINALIZZATA ALLA REALIZZAZIONE DI UN CENTRO ORIENTATO AD ATTIVITÀ DI RICERCA*ZONA OVEST DEL COMUNE DI BENEVENTO - RIONE TRIGG;UNIVERSITA' DEGLI STUDI DEL SANNIO IN BENEVENTO;01114010620;5000000,00;07/03/2024
PNC;A.4;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;A.4.0.0;ECOSISTEMI PER L'INNOVAZIONE AL SUD;PCM - DIP POLITICHE DI COESIONE;E93G21000330001;ATTIVO;03;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);N;NORMALE;06;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;0640__;OPERE E INFRASTRUTTURE PER LA RICERCA;0640__999_;ALTRE OPERE ED INFRASTRUTTURE PER LA RICERCA;IL PROGETTO ECOSISTEMA DI INNOVAZIONE ARIS CONSISTE NELLA REALIZZAZIONE DELLA NUOVA SEDE DELLAREA DELLA RICERCA DEL CNR DI BARI*VIA PIETRO RAVANAS, 298*IL PROGETTO SI PONE L'OBIETTIVO DI AVVIARE LA RIQUALIFICAZIONE E RISTRUTTURAZIONE DEL COMPENDIO IMMO;INVESTIMENTI IMMOBILIARI ITALIANI SOCIETA' DI GESTIONE DEL RISPARMIO SOCIETA' PER AZIONI;12441721003;20000000,00;07/03/2024
PNC;B.1;INTERVENTI PER LE AREE DEL TERREMOTO DEL 2009;B.1.1;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;B.1.1.0;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;Commissario straordinario sisma;G31B21008300001;ATTIVO;02;ACQUISTO O REALIZZAZIONE DI SERVIZI;C;COLLEGATO;10;SERVIZI PER LA P.A. E PER LA COLLETTIVITA';1001__;SERVIZI E TECNOLOGIE PER L'INFORMAZIONE E LE COMUNICAZIONI;1001__007_;SISTEMI INFORMATIVI PER LA P.A.;TERRITORI COLPITI DAL SISMA 2009 E 2016*TERRITORI COLPITI DAL SISMA 2009 E 2016*REALIZZAZIONE DI SERVIZI RIGUARDANTI LE SUB MISURE A1.1- A1.2 - E A1.3;COMMISSARIO PER LA RICOSTRUZIONE POST SISMA 2016 - EX ART 11 DPR 9 SETTEMBRE 2016;97914140583;109445207,00;07/03/2024
PNC;B.1;INTERVENTI PER LE AREE DEL TERREMOTO DEL 2009;B.1.1;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;B.1.1.0;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;Commissario straordinario sisma;J31B21005220001;ATTIVO;02;ACQUISTO O REALIZZAZIONE DI SERVIZI;M;MASTER;10;SERVIZI PER LA P.A. E PER LA COLLETTIVITA';1001__;SERVIZI E TECNOLOGIE PER L'INFORMAZIONE E LE COMUNICAZIONI;1001__007_;SISTEMI INFORMATIVI PER LA P.A.;TERRITORI COLPITI DAL SISMA 2009 E 2016*TERRITORI COLPITI DAL SISMA 2009 E 2016*SUPPORTO NELLE FASI DI PROGETTAZIONE PER LE SUB MISURE A1.1-  A1.2 - E A1.3;PRESIDENZA DEL CONSIGLIO DEI MINISTRI;80188230587;5098080,00;07/03/2024
PNC;B.1;INTERVENTI PER LE AREE DEL TERREMOTO DEL 2009;B.1.1;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;B.1.1.0;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;Commissario straordinario sisma;J31B21005230001;ATTIVO;02;ACQUISTO O REALIZZAZIONE DI SERVIZI;C;COLLEGATO;10;SERVIZI PER LA P.A. E PER LA COLLETTIVITA';1001__;SERVIZI E TECNOLOGIE PER L'INFORMAZIONE E LE COMUNICAZIONI;1001__007_;SISTEMI INFORMATIVI PER LA P.A.;TERRITORI COLPITI DAL SISMA 2009 E 2016*TERRITORI COLPITI DAL SISMA 2009 E 2016*REALIZZAZIONE DI SERVIZI RIGUARDANTI LE SUB  MISURE A1.1- A1.2 - E A1.3;PRESIDENZA DEL CONSIGLIO DEI MINISTRI;80188230587;49834792,00;07/03/2024
PNC;B.1;INTERVENTI PER LE AREE DEL TERREMOTO DEL 2009;B.1.1;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;B.1.1.0;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;Commissario straordinario sisma;J31C21000010001;ATTIVO;02;ACQUISTO O REALIZZAZIONE DI SERVIZI;N;NORMALE;10;SERVIZI PER LA P.A. E PER LA COLLETTIVITA';1001__;SERVIZI E TECNOLOGIE PER L'INFORMAZIONE E LE COMUNICAZIONI;1001__007_;SISTEMI INFORMATIVI PER LA P.A.;REALIZZAZIONE DI UNA PIATTAFORMA TERRITORIALE INFORMATICA NEI TERRITORI COLPITI DAI SISMI DEL 2009 E 2016*TERRITORI COLPITI DAI SISMI 2009 E 2016*REALIZZAZIONE DELLE ATTIVITA' PREVISTE NELLA LINEA INTERVENTO A1.3 DEL PNC SISMA;PRESIDENZA DEL CONSIGLIO DEI MINISTRI;80188230587;3000000,00;07/03/2024
PNC;B.1;INTERVENTI PER LE AREE DEL TERREMOTO DEL 2009;B.1.1;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;B.1.1.0;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;Commissario straordinario sisma;B24E21011030005;ATTIVO;03;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);N;NORMALE;05;INFRASTRUTTURE SOCIALI;0508__;SOCIALI E SCOLASTICHE;0508__083_;SCUOLE MATERNE;RIFUNZIONALIZZAZIONE EDIFICI PUBBLCI*FRAZIONE CAVALLETTO*CASA SELLA CULTURA DA ADIBIRE A SCUOLA DELL'INFANZIA;COMUNE DI OCRE;80002850669;420560,34;07/03/2024
PNC;B.1;INTERVENTI PER LE AREE DEL TERREMOTO DEL 2009;B.1.1;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;B.1.1.0;CITTÀ E PAESI SICURI, SOSTENIBILI E CONNESSI;Commissario straordinario sisma;B42C21001540001;ATTIVO;03;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);N;NORMALE;05;INFRASTRUTTURE SOCIALI;0510__;ABITATIVE;0510__999_;ALTRI EDIFICI ABITATIVI;RISTRUTTURAZIONE E MIGLIORAMENTO SISMICO EDIFICIO COMUNALE SITO IN VIA DEL PROTETTORE 11 DA DESTINARE AD ALLOGGIO PER GIOVANI COPPIE E LOCALE POLIFUNZIONALE. SUB-MISURA A.2.1 FONDO COMPLEMENTARE PNRR AREE SISMA 2009 E 2016.*VIA DEL PROTETTORE 11*LAVORI DI;COMUNE DI SAN PIO DELLE CAMERE;00197690662;379781,00;07/03/2024
